artist_id,name,gender,country,styles,playcount
40345,Mägo de Oz,undefined,Spain,metal,10432236
41207,Ovidi Montllor,male,Spain,cantautor|folk,104331
41900,Héroes del Silencio,undefined,Spain,rock,8445174
42098,Joan Manuel Serrat,male,Spain,cantautor|folk,2406178
42829,Andy & Lucas,undefined,Spain,pop|latin,593461
43041,Aerolíneas Federales,undefined,Spain,punk|pop,168433
43042,Alaska y Los Pegamoides,undefined,Spain,pop,394413
43171,Freeend,undefined,Spain,shoegaze|noise|experimental,3079
43566,Ismael Serrano,male,Spain,cantautor|trova,2085083
44552,Rozalén,female,Spain,pop|folk|rock,524354
44553,Miss Caffeina,undefined,Spain,pop,1541082
45249,Dr. Kucho!,male,Spain,electronic|techno,556977
46309,Avulsed,undefined,Spain,grindcore,810816
47496,Lori Meyers,undefined,Spain,pop,3494689
47962,Dosem,undefined,Spain,techno|minimal|electronic,453396
48502,The Suicide of Western Culture,undefined,Spain,experimental|electronic,119883
48834,KASE.O,undefined,Spain,rap,1263833
50481,Adhesive,undefined,Spain,punk,420616
54030,Pablo Dominguez,undefined,Spain,folk|pop|rock|soul,43366
55866,Day Of Rising,undefined,Spain,rock|emo,34495
56719,Boat Beam,undefined,Spain,folk,208217
57278,David Tavaré,male,Spain,pop|trance,128182
57350,The Pinker Tones,undefined,Spain,electronic|lounge|electronica|downtempo,663095
57351,Ojos de Brujo,undefined,Spain,latin|world,2538423
58610,Francisco Tárrega,male,Spain,romantic,946170
61453,Iván Ferreiro,male,Spain,pop,2617834
62207,Accidente,undefined,Spain,punk,127618
62466,Mujeres,undefined,Spain,rock,687973
62692,Javier Navarrete,male,Spain,orchestral,2450198
62967,Madame Germen,undefined,Spain,screamo|hardcore,289522
64778,Anni B Sweet,female,Spain,folk,1044188
64799,El Aviador Dro,undefined,Spain,synthpop,265662
65419,Heroes Del Silencio,undefined,Spain,rock,1001528
65497,Danny Romero,undefined,Spain,country,385582
65722,Mikel Erentxun,male,Spain,pop|rock,745838
66634,Dani Martín,undefined,Spain,pop|rock,757839
66788,Dark Moor,undefined,Spain,metal,5648657
67607,Locoplaya,undefined,Spain,rap,254806
67609,El Chojin,male,Spain,rap,828161
